transaction_id,name,date,amount,currency,account_id,category_id,excluded,notes,transaction_type,created_at,updated_at,last_synced_at
73b9a0d5-974f-4d26-95a4-1d45b057635f,3uQFpIUI2YunjaZ,2024-05-18 09:58:11,9307,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,3b8b22f8-c590-4543-9152-1cdb1230ec9b,false,rzblbTXQbi2zhihNCeUE,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
3c75774b-141c-4237-8eed-690c1a5a89c3,W7djerdsCWu40aE,2024-05-18 09:58:11,3984,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,054bf055-c965-4f0a-95fa-ba0ec58b82c6,false,vGakxghW7x44FuO0ttSp,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
df3b9757-2ebd-4c24-92a3-a16aee48bd7b,sRUJN8slPeIGFkU,2024-05-18 09:58:11,1395,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,cc8cbbfc-5fcc-444f-8ac7-b7229f5ab364,false,533UTrsNz3tcEUjPBNTc,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
492fdaa0-1d27-456b-abe4-058b1bd3cc65,56MJVylmcPpjUB2,2024-05-18 09:58:11,1597,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,cc8cbbfc-5fcc-444f-8ac7-b7229f5ab364,false,Gp6HLV9a0H42zTnWY9YC,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
e2cb3e94-5d03-4f73-adee-6cac7a18977b,KmkxN7hup4jRPmJ,2024-05-18 09:58:11,5338,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,a82d67a6-fcc9-40e4-8e15-599714a7c928,true,PhinzgL0Ck1y1VVn3q6U,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
4ec459cb-1b2a-4a79-ad9f-30bb562cdadf,VDUuO51YsybR5Dd,2024-05-18 09:58:11,9394,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,dc901264-57af-49ce-83b3-3beed2a4ad63,false,TGNXZMq28UxHV6jvHkyl,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
7fb31469-0589-4f53-8e46-a533209c0ed2,VpZh9W18VZTxu1D,2024-05-18 09:58:11,1706,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,5b3f1c8a-e1ce-47e4-9932-7bb1bcfbca80,true,nFaF9OmeHfmWi9qzlNAG,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
ab956d30-c78b-407d-b026-0390c5a73326,2TxJfEq93taUpyR,2024-05-18 09:58:11,8273,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,cea224d2-faf8-4343-a1ed-93e78476cfff,true,MTtmt6xyUahlXG5Eem20,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
3e655b3f-6bbe-478f-9456-90949af7fe93,BaIqRidJM7TfWUM,2024-05-18 09:58:11,4829,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,6abd33bb-db95-4122-b86e-abed0554e955,true,SSE01Drq04Xy4JprGoEW,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
0870231d-1999-4293-b695-4854130e3ff3,WtizGRLpQdzLs6a,2024-05-18 09:58:11,242,CAD,bab0ea2c-410f-4608-9c04-c465deb2eaf8,cc8cbbfc-5fcc-444f-8ac7-b7229f5ab364,true,6uEf80yp6r8Hjc2GYkVc,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
ede6a5ef-d113-49b6-bfd5-470cc8e2ffaf,y9DEnTTlJs4KFZ8,2024-05-18 09:58:11,6802,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,64da1c06-7fe6-4885-b54e-0733e62af3b5,true,kO5v0ZuB1DsBkPeP5VD8,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
03694e8d-607a-4008-a739-54ad57f5ebac,CGMA4aSzzEIwVaZ,2024-05-18 09:58:11,4397,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,d05d0dad-0da1-49c7-827b-47bdc2601d5c,true,bAIsemULhl9dLYUyB5sP,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
4ee24c9f-2e31-4d50-857d-0a9158c12866,Kwb81l3b14I9kjw,2024-05-18 09:58:11,996,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,a0c717a4-c0b5-41b3-8675-cb7798fcaf20,false,VXyaavVU8UwTHzbxYL55,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
5f8bc239-d947-48bc-ba39-e63c375bd019,zyc2ZymWfIh8PyQ,2024-05-18 09:58:11,8330,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,18f3950f-bec8-42e9-8658-d3086a248b9d,false,gwstxLtNFuKDhgQ4gQWu,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
a70e5d09-df9c-4e1a-a7fc-eac9f7bbfb49,NhZ5oGEBRUCiQav,2024-05-18 09:58:11,8615,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,dc901264-57af-49ce-83b3-3beed2a4ad63,true,8ZRbhmHdK1vdBY6KTBjr,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
54dd7985-1461-48f8-8bdb-22ac44e86604,LNljYg1ejvRyMuG,2024-05-18 09:58:11,3665,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,42844d08-221a-4538-a7bd-283a27b0e5e2,false,KAfAOKQvBKTAs4jiGLTV,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
652a29a6-07fc-4ec0-b8bc-0e6e1b128cbf,xPhIe0gYfzQNshH,2024-05-18 09:58:11,3451,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,4062491d-8854-4866-8f4c-eaf2a1ca3161,false,iqxvdiehkPnQ9YA6QDEN,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
c281cb27-2b6d-4e61-8fc2-43c43298835c,f4WrWkOiqdwu5Fd,2024-05-18 09:58:11,1980,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,18f3950f-bec8-42e9-8658-d3086a248b9d,true,aATUMHmO7ggdgF3Pq9xc,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
3accda37-8d1d-490a-abfb-9eb053b45e48,sr0k5Jz3oTApxAw,2024-05-18 09:58:11,6479,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,dc901264-57af-49ce-83b3-3beed2a4ad63,false,NMeVjMBdvS1Lrqh74KSq,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
fd035b4e-b26b-4dce-a522-75b2d6f8dbd9,ydFwYqMoOFVhHCN,2024-05-18 09:58:11,5806,USD,809e84a6-c368-46b2-85f5-0c3d0f415a3a,8004f61d-1744-4acf-b95c-3e516df0d6ac,true,IQxYjcOcv8ycxQp6X7aa,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
2a125f65-dd36-4525-9fe0-77eb3754cab2,Yy1fpv5PXCPtQYy,2024-05-18 09:58:11,2616,JPY,875d033a-17f6-4355-9f8c-f747002bbdb7,4062491d-8854-4866-8f4c-eaf2a1ca3161,true,QebRsWb2T2AKTepcFPUW,outflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
63fc9976-ee66-4864-931e-873093f03ea8,bqyHBfw9LRQFTyW,2024-05-18 09:58:11,8499,JPY,875d033a-17f6-4355-9f8c-f747002bbdb7,42844d08-221a-4538-a7bd-283a27b0e5e2,true,2kEvTHZ3T1xMNT2Ob8AV,inflow,2024-05-18 07:00:25.874638,2024-05-18 07:00:25.874638,
